Ticker,Date,Price,Volume
ACB,20151130,19.4,65564
ACB,20151127,19.4,159463
ACB,20151126,19.6,125075
ACB,20151125,19.6,87977
ACB,20151124,19.6,104586
ACB,20151123,19.9,137973
ACB,20151120,20,52888
ACB,20151119,20.1,149493
ACB,20151118,20.2,106123
ACB,20151117,20.1,104666
ACB,20151116,20.2,182808
ACB,20151113,20.5,89348
ACB,20151112,20.3,192162
ACB,20151111,19.9,63351
ACB,20151110,20.2,59686
ACB,20151109,20.4,62807
ACB,20151106,20.6,60404
ACB,20151105,20.5,130706
ACB,20151104,20.4,114262
ACB,20151103,20.6,126751
ACB,20151102,20.6,49251
ACB,20151030,20.8,167701
ACB,20151029,20.8,204951
ACB,20151028,20.6,78194
ACB,20151027,20.9,72424
ACB,20151026,20.9,246978
ACB,20151023,20.8,175412
ACB,20151022,20.8,176203
ACB,20151021,20.5,282119
ACB,20151020,20.6,149907
ACB,20151019,20.7,178784
ACB,20151016,20.7,431631
ACB,20151015,20.8,371189
ACB,20151014,20.8,296896
ACB,20151013,20.8,230664
ACB,20151012,20.9,479803
ACB,20151009,20.6,557772
ACB,20151008,20.2,541780
ACB,20151007,19.9,188078
ACB,20151006,20.2,895315
ACB,20151005,19.6,220204
ACB,20151002,19.5,158695
ACB,20151001,19.4,227369
ACB,20150930,19.4,123594
ACB,20150929,19.4,299147
ACB,20150928,19.3,265140
ACB,20150925,19.7,322242
ACB,20150924,19.5,989427
ACB,20150923,19.3,207733
ACB,20150922,19.2,302093
ACB,20150921,19.3,139262
ACB,20150918,19.3,290102
ACB,20150917,19.1,647976
ACB,20150916,18.7,95791
ACB,20150915,18.7,153480
ACB,20150914,18.9,119804
ACB,20150911,19,161434
ACB,20150910,19.2,259986
ACB,20150909,19.5,702756
ACB,20150908,19,301747
ACB,20150907,18.1,140700
ACB,20150904,17.9,129860
ACB,20150903,18.1,131193
ACB,20150901,18.2,219234
ACB,20150831,18.3,186590
ACB,20150828,18.8,559810
ACB,20150827,18.6,267961
ACB,20150826,18.4,565316
ACB,20150825,17.8,729322
ACB,20150824,17.1,1663746
ACB,20150821,18.9,851858
ACB,20150820,18.9,182245
ACB,20150819,19.2,362735
ACB,20150818,19,521619
ACB,20150817,18.7,1125772
ACB,20150814,19.8,772335
ACB,20150813,20.1,552126
ACB,20150812,20.5,491840
ACB,20150811,20.9,309493
ACB,20150810,21.2,287468
ACB,20150807,20.5,220667
ACB,20150806,20.5,197343
ACB,20150805,20.9,288442
ACB,20150804,20.6,435108
ACB,20150803,20.8,745685
ACB,20150731,21.6,342128
ACB,20150730,21.7,338803
ACB,20150729,21.7,334121
ACB,20150728,21.9,595210
ACB,20150727,22,537838
ACB,20150724,21.9,241877
ACB,20150723,21.8,892399
ACB,20150722,22.5,525766
ACB,20150721,21.2,674566
ACB,20150720,21.8,1189236
ACB,20150717,22,743928
ACB,20150716,22.5,744800
ACB,20150715,22.6,1158668
ACB,20150714,23.2,2298523
ACB,20150713,22.8,609504
ACB,20150710,22.7,682325
ACB,20150709,22.7,1152099
ACB,20150708,22.9,1447415
ACB,20150707,23.6,1754487
ACB,20150706,23.4,2519437
ACB,20150703,22.3,1760897
ACB,20150702,21.7,1349683
ACB,20150701,20.7,508272
ACB,20150630,20.5,915176
ACB,20150629,20.8,858135
ACB,20150626,21,1009225
ACB,20150625,21.6,595957
ACB,20150624,21.4,643475
ACB,20150623,21.8,727502
ACB,20150622,21.9,834327
ACB,20150619,21.7,385535
ACB,20150618,21.5,622294
ACB,20150617,21.2,454521
ACB,20150616,21.4,859613
ACB,20150615,21.8,978956
ACB,20150612,21.3,615109
ACB,20150611,21.5,807912
ACB,20150610,21.9,977147
ACB,20150609,21.9,1081395
ACB,20150608,21.9,1163634
ACB,20150605,21.6,1201275
ACB,20150604,20.5,1126592
ACB,20150603,19.7,765768
ACB,20150602,19.5,1219764
ACB,20150601,20.1,1006223
ACB,20150529,19.3,805676
ACB,20150528,19.1,1585442
ACB,20150527,18,833767
ACB,20150526,17.5,1612511
ACB,20150525,16.6,401035
ACB,20150522,16.1,139779
ACB,20150521,16.3,46433
ACB,20150520,16.1,96071
ACB,20150519,16,37354
ACB,20150518,15.9,222564
ACB,20150515,16.1,68959
ACB,20150514,16,98453
ACB,20150513,15.8,327269
ACB,20150512,15.9,59695
ACB,20150511,15.9,134947
ACB,20150508,15.8,171291
ACB,20150507,15.9,121436
ACB,20150506,15.9,144990
ACB,20150505,15.9,48513
ACB,20150504,15.7,16816
ACB,20150427,16.1,172955
ACB,20150424,15.6,30752
ACB,20150423,15.8,39006
ACB,20150422,15.8,105481
ACB,20150421,15.6,52353
ACB,20150420,15.8,44975
ACB,20150417,15.9,36935
ACB,20150416,15.8,82523
ACB,20150415,15.8,42101
ACB,20150414,15.9,57719
ACB,20150413,15.9,36940
ACB,20150410,15.9,26605
ACB,20150409,15.8,153488
ACB,20150408,15.9,60778
ACB,20150407,16,46793
ACB,20150406,16.1,4952
ACB,20150403,16.1,51215
ACB,20150402,15.9,159003
ACB,20150401,15.8,252663
ACB,20150331,16,57640
ACB,20150330,16.1,187169
ACB,20150327,16.1,150742
ACB,20150326,16.3,165791
ACB,20150325,16.3,122734
ACB,20150324,16.1,222685
ACB,20150323,16.2,57431
ACB,20150320,16.4,116347
ACB,20150319,16.2,129073
ACB,20150318,16.2,259352
ACB,20150317,16.2,118588
ACB,20150316,16.2,340462
ACB,20150313,16.2,162894
ACB,20150312,16.3,47908
ACB,20150311,16.4,561767
ACB,20150310,16.3,96698
ACB,20150309,16.2,159821
ACB,20150306,16.3,322073
ACB,20150305,16.1,159152
ACB,20150304,16.2,412425
ACB,20150303,16.2,603931
ACB,20150302,16.3,100838
ACB,20150227,16.3,64375
ACB,20150226,16.6,112327
ACB,20150225,16.6,672279
ACB,20150224,16.4,140871
ACB,20150213,16.1,650359
ACB,20150212,15.7,87911
ACB,20150211,15.7,90914
ACB,20150210,15.5,105679
ACB,20150209,15.4,72974
ACB,20150206,15.7,245283
ACB,20150205,15.4,74461
ACB,20150204,15.4,270500
ACB,20150203,15.2,827865
ACB,20150202,16.1,265344
ACB,20150130,16.5,478259
ACB,20150129,17,429009
ACB,20150128,17.2,959871
ACB,20150127,16.5,315651
ACB,20150126,16.5,307006
ACB,20150123,16.4,1441874
ACB,20150122,15.6,300965
