Ticker,Date,Price
ACB,20150324,16.1
ACB,20150323,16.2
ACB,20150320,16.4
ACB,20150319,16.2
ACB,20150318,16.2
ACB,20150317,16.2
ACB,20150316,16.2
ACB,20150313,16.2
ACB,20150312,16.3
ACB,20150311,16.4
ACB,20150310,16.3
ACB,20150309,16.2
ACB,20150306,16.3
ACB,20150305,16.1
ACB,20150304,16.2
ACB,20150303,16.2
ACB,20150302,16.3
ACB,20150227,16.3
ACB,20150226,16.6
ACB,20150225,16.6
ACB,20150224,16.4
ACB,20150213,16.1
ACB,20150212,15.7
ACB,20150211,15.7
ACB,20150210,15.5
ACB,20150209,15.4
ACB,20150206,15.7
ACB,20150205,15.4
ACB,20150204,15.4
ACB,20150203,15.2
ACB,20150202,16.1
ACB,20150130,16.5
ACB,20150129,17
ACB,20150128,17.2
ACB,20150127,16.5
ACB,20150126,16.5
ACB,20150123,16.4
ACB,20150122,15.6
ACB,20150121,15.2
ACB,20150120,15.3
ACB,20150119,15.4
ACB,20150116,15.2
ACB,20150115,15.2
ACB,20150114,15.5
ACB,20150113,15.8
ACB,20150112,15.4
ACB,20150109,15.2
ACB,20150108,15.1
ACB,20150107,15
ACB,20150106,14.9
ACB,20150105,14.7
ACB,20141231,14.8
ACB,20141230,14.7
ACB,20141229,14.7
ACB,20141226,14.8
ACB,20141225,14.8
ACB,20141224,14.9
ACB,20141223,14.9
ACB,20141222,14.7
ACB,20141219,14.8
ACB,20141218,14.8
ACB,20141217,14.7
ACB,20141216,14.8
ACB,20141215,14.9
ACB,20141212,14.9
ACB,20141211,14.9
ACB,20141210,14.8
ACB,20141209,14.7
ACB,20141208,14.9
ACB,20141205,14.9
ACB,20141204,14.9
ACB,20141203,14.6
ACB,20141202,14.5
ACB,20141201,14.6
ACB,20141128,14.6
ACB,20141127,14.8
ACB,20141126,14.6
ACB,20141125,14.8
ACB,20141124,14.7
ACB,20141121,14.8
ACB,20141120,14.9
ACB,20141119,14.9
ACB,20141118,15
ACB,20141117,15.1
ACB,20141114,15
ACB,20141113,15.3
ACB,20141112,15.3
ACB,20141111,15
ACB,20141110,14.8
ACB,20141107,14.9
ACB,20141106,14.9
ACB,20141105,14.5
ACB,20141104,14.7
ACB,20141103,14.7
ACB,20141031,14.7
ACB,20141030,14.7
ACB,20141029,14.6
ACB,20141028,14.5
ACB,20141027,14.5
ACB,20141024,14.5
ACB,20141023,14.6
ACB,20141022,14.5
ACB,20141021,14.5
ACB,20141020,14.5
ACB,20141017,14.6
ACB,20141016,14.5
ACB,20141015,14.5
ACB,20141014,14.5
ACB,20141013,14.5
ACB,20141010,14.5
ACB,20141009,14.5
ACB,20141008,14.5
ACB,20141007,14.5
ACB,20141006,14.5
ACB,20141003,14.5
ACB,20141002,14.6
ACB,20141001,14.6
ACB,20140930,14.6
ACB,20140929,14.6
ACB,20140926,14.6
ACB,20140925,14.6
ACB,20140924,14.6
ACB,20140923,14.6
ACB,20140922,14.6
ACB,20140919,14.6
ACB,20140918,14.6
ACB,20140917,14.8
ACB,20140916,14.7
ACB,20140915,14.6
ACB,20140912,14.6
ACB,20140911,14.7
ACB,20140910,14.7
ACB,20140909,14.6
ACB,20140908,14.7
ACB,20140905,14.8
